Product Name,Unit Price,ID,Payment Gateway,Card Brand,Bank,Region,Address,Email
iPhone 14 Pro,999.99,1,Kiphu,AMEX,Santander,Región de Los Ríos,Villarrica 444,eivibnp@example.com
Dyson V11 Vacuum,499.99,2,EtPay,Mastercard,Banco BCI,Región del Biobío,Paseo Ahumada 890,dckrfrv@example.com
Levi's 501 Jeans,69.99,3,Kiphu,VISA,Santander,Región de Los Lagos,Paseo Ahumada 890,rlvjkgf@random.org
The Da Vinci Code,15.99,4,Kiphu,AMEX,Banco Estado,Región de Coquimbo,Puerto Varas 333,zncxltz@mail.com
Neutrogena Skincare Set,89.99,5,MercadoPago,VISA,Banco de Chile,Región del Maule,Camino del Inca 1010,kehsvfl@test.com
Wilson Evolution Basketball,29.99,6,MercadoPago,AMEX,Banco BCI,Región Metropolitana de Santiago,Providencia 234,opkzwsx@mail.com
MacBook Pro 16-inch,2499.99,7,Kiphu,VISA,Banco de Chile,Región de Valparaíso,Gran Avenida 567,lqfcxcj@random.org
Blueair Classic 480i,599.99,8,MercadoPago,VISA,Banco BCI,Región de Magallanes y de la Antártica Chilena,La Serena 666,afghyak@random.org
Nike Air Force 1,89.99,9,EtPay,VISA,Banco de Chile,Región de Arica y Parinacota,Puerto Varas 333,vidsqcz@random.org
Dune by Frank Herbert,25.99,10,Kiphu,VISA,Banco Estado,Región Metropolitana de Santiago,Paseo Ahumada 890,agwocfg@mail.com
Chanel No. 5 Perfume,129.99,11,EtPay,VISA,Banco Estado,Región de Aysén del General Carlos Ibáñez del Campo,Calle Falsa 123,xmrskli@mail.com
Babolat Pure Drive Tennis Racket,199.99,12,MercadoPago,Mastercard,Banco Falabella,Región de Magallanes y de la Antártica Chilena,Los Alerces 456,qumtdko@random.org
Samsung Galaxy Tab S8,749.99,13,Webpay,VISA,Banco BCI,Región de Magallanes y de la Antártica Chilena,Puerto Varas 333,ojiroow@random.org
Keurig K-Elite Coffee Maker,189.99,14,Webpay,VISA,Banco de Chile,Región de Los Ríos,Calle Falsa 123,bgwzobf@example.com
North Face Down Jacket,249.99,15,EtPay,Mastercard,Santander,Región del Biobío,Los Alerces 456,nfdljmz@random.org
"Salt, Fat, Acid, Heat by Samin Nosrat",35.99,16,Kiphu,Mastercard,Banco Falabella,Región de Magallanes y de la Antártica Chilena,Av. O'Higgins 678,btvxisd@mail.com
Dyson Supersonic Hair Dryer,399.99,17,Kiphu,AMEX,Banco Falabella,Región de Aysén del General Carlos Ibáñez del Campo,Cerro Alegre 222,qkraqhp@mail.com
Manduka PRO Yoga Mat,119.99,18,Webpay,AMEX,Banco Estado,Región Metropolitana de Santiago,Cerro Alegre 222,rsucdvt@random.org
Garmin Forerunner 945,499.99,19,Webpay,AMEX,Banco de Chile,Región de Valparaíso,Providencia 234,ympfihb@email.com
Ninja Professional Blender,99.99,20,Webpay,VISA,Banco Estado,Región de La Araucanía,Gran Avenida 567,gijbdcn@test.com
Zara Summer Dress,59.99,21,Webpay,VISA,Banco BCI,Región de La Araucanía,Av. Siempre Viva 742,cpnngdt@example.com
Gone Girl by Gillian Flynn,22.99,22,EtPay,VISA,Banco Falabella,Región de Antofagasta,La Serena 666,ztmdjjd@random.org
Olay Regenerist Face Cream,49.99,23,Kiphu,Mastercard,Banco Estado,Región de Tarapacá,Puerto Varas 333,esojcwu@mail.com
Adidas FIFA World Cup Football,29.99,24,EtPay,Mastercard,Santander,Región del Biobío,Providencia 234,esfolgw@mail.com
Bose QuietComfort 35 Headphones,299.99,25,Webpay,Mastercard,Banco Estado,Región de Aysén del General Carlos Ibáñez del Campo,Villarrica 444,kccznpi@mail.com
Panasonic NN-SN966S Microwave,179.99,26,MercadoPago,AMEX,Santander,Región de Tarapacá,La Serena 666,vhjrkbw@email.com
Adidas Ultraboost Shoes,179.99,27,Kiphu,AMEX,Santander,Región del Libertador General Bernardo O'Higgins,Cerro Alegre 222,oxvrmtw@random.org
Pride and Prejudice by Jane Austen,12.99,28,EtPay,AMEX,Banco Falabella,Región del Biobío,Plaza Italia 111,sjdapir@mail.com
MAC Ruby Woo Lipstick,29.99,29,Webpay,VISA,Banco de Chile,Región de Tarapacá,La Florida 789,gekorkb@email.com
Nike Air Zoom Pegasus 37,129.99,30,EtPay,VISA,Banco Falabella,Región del Biobío,Providencia 234,azthezs@example.com
Sony WH-1000XM4 Headphones,349.99,31,EtPay,VISA,Banco BCI,Región Metropolitana de Santiago,La Serena 666,nqsrdao@mail.com
Instant Pot Duo,89.99,32,Kiphu,Mastercard,Banco de Chile,Región del Maule,Cerro Alegre 222,ociaqnj@fake.co
Under Armour HeatGear T-Shirt,29.99,33,Kiphu,AMEX,Banco Falabella,Región de Atacama,Paseo Ahumada 890,jfyyuch@test.com
1984 by George Orwell,19.99,34,EtPay,Mastercard,Banco Falabella,Región de Valparaíso,Camino del Inca 1010,chnunvy@example.com
L'Oreal Revitalift Serum,39.99,35,Webpay,VISA,Banco BCI,Región de Antofagasta,Camino del Inca 1010,hmnjzjz@fake.co
Peloton Bike,1895.0,36,Webpay,VISA,Banco BCI,Región del Biobío,Puerto Varas 333,pyebelt@example.com
Apple Watch Series 8,399.99,37,MercadoPago,VISA,Banco BCI,Región del Maule,Camino del Inca 1010,vtgitpy@fake.co
Roomba i7+,799.99,38,MercadoPago,VISA,Banco BCI,Región del Biobío,Valdivia 555,rrmcivt@email.com
Columbia Fleece Jacket,59.99,39,MercadoPago,VISA,Banco de Chile,Región de Coquimbo,Av. Siempre Viva 742,dzqfycd@test.com
Harry Potter and the Sorcerer's Stone,24.99,40,Kiphu,AMEX,Santander,Región de Antofagasta,Puerto Varas 333,nkijebk@random.org
Estee Lauder Advanced Night Repair,105.0,41,Webpay,Mastercard,Banco Falabella,Región de Magallanes y de la Antártica Chilena,Av. Siempre Viva 742,ocezruc@test.com
Fitbit Charge 5,129.99,42,Kiphu,AMEX,Santander,Región del Biobío,Los Alerces 456,uxpicfg@random.org
GoPro HERO10 Black,399.99,43,MercadoPago,AMEX,Banco Falabella,Región del Biobío,Calle Falsa 123,vcycbnx@email.com
Nespresso VertuoPlus,199.99,44,Kiphu,VISA,Santander,Región del Libertador General Bernardo O'Higgins,Paseo Ahumada 890,wfplgul@fake.co
Patagonia Better Sweater,139.99,45,Webpay,Mastercard,Banco BCI,Región de Arica y Parinacota,Providencia 234,ipwcygt@example.com
Becoming by Michelle Obama,32.5,46,MercadoPago,VISA,Banco Estado,Región de Los Lagos,Valdivia 555,tzwyovb@example.com
Clinique Moisture Surge,52.0,47,MercadoPago,VISA,Santander,Región de Ñuble,Providencia 234,skqywit@test.com
Yeti Rambler Tumbler,39.99,48,MercadoPago,Mastercard,Banco Falabella,Región de Coquimbo,Villarrica 444,argftcw@test.com
Kindle Paperwhite,129.99,49,MercadoPago,VISA,Banco de Chile,Región de Ñuble,Providencia 234,dtmjwjk@email.com
Breville Smart Oven,299.99,50,EtPay,AMEX,Banco BCI,Región de Ñuble,Valdivia 555,scbgflz@email.com
Ray-Ban Aviator Sunglasses,154.99,51,EtPay,AMEX,Banco Falabella,Región de La Araucanía,Plaza Italia 111,qrjpzuf@mail.com
The Silent Patient by Alex Michaelides,26.99,52,Webpay,Mastercard,Santander,Región de Los Ríos,Valdivia 555,lpzavwi@email.com
Shiseido Ultimate Sun Protector,49.0,53,Kiphu,AMEX,Banco BCI,Región de Antofagasta,La Serena 666,qxnpfgt@example.com
Titleist Pro V1 Golf Balls,49.99,54,MercadoPago,VISA,Banco de Chile,Región del Maule,Gran Avenida 567,rbcfwxq@example.com
Anker PowerCore Portable Charger,59.99,55,EtPay,Mastercard,Banco Falabella,Región del Libertador General Bernardo O'Higgins,Paseo Ahumada 890,zjmehws@test.com
KitchenAid Artisan Stand Mixer,499.99,56,Kiphu,VISA,Banco Estado,Región de Ñuble,La Florida 789,smnetlk@mail.com
Calvin Klein Boxer Briefs,29.99,57,MercadoPago,Mastercard,Santander,Región de Aysén del General Carlos Ibáñez del Campo,Villarrica 444,dozldfq@random.org
Educated by Tara Westover,28.0,58,MercadoPago,VISA,Banco BCI,Región de La Araucanía,Puerto Varas 333,iszikkj@example.com
Anastasia Beverly Hills Brow Wiz,23.0,59,MercadoPago,Mastercard,Banco BCI,Región de Arica y Parinacota,Plaza Italia 111,puofcjd@mail.com
Hyperice Hypervolt Massager,349.0,60,Webpay,AMEX,Santander,Región de Los Ríos,La Serena 666,eiakwqw@example.com
Nintendo Switch,299.99,61,MercadoPago,VISA,Banco de Chile,Región de Aysén del General Carlos Ibáñez del Campo,Av. O'Higgins 678,fkwmgft@random.org
Philips Airfryer XXL,199.99,62,EtPay,Mastercard,Banco BCI,Región de Aysén del General Carlos Ibáñez del Campo,Los Alerces 456,xccyidu@email.com
Hanes ComfortSoft T-Shirt,9.99,63,Kiphu,VISA,Banco de Chile,Región del Biobío,La Serena 666,eegiqhc@mail.com
